episode;date;teaser
1;5-10-2015;Alain Caron gaat oesterzwammen kweken! Boswachter Marieke neemt je mee op safari. En hoe woon je in een kerk?
2;6-10-2015;Landschapsarchitect Piet Oudolf leidt je rond door zijn oogverblindende tuin. Interieurstylist Eva van de Ven pakt een interieurprobleem aan. En culinair expert Alain Caron duikt de natuur in voor verse ingrediënten!
3;7-10-2015;We zien een bijzonder interieur vol Tribal art. Chefkok Sharon legt uit hoe je makkelijk en snel een gezonde salade met quinoa maakt. Kun je ook imker in de stad zijn?
4;8-10-2015;Is het een bunker of droomhuis? Binnenkijken bij de architect! Ook zie je hoe een jongensdroom een mega-moestuin wordt. En chef-kok Ramon Brugman vindt het tijd voor pompoensoep!
5;9-10-2015;Alain en bierexpert Fiona zijn in het Trappistenklooster. Hoe brouwen monniken dit bier? We nemen ook een kijkje bij een duurzaam huis met een ontroerende achtergrond. En hovenier Martin gaat een Amsterdam's tuintje kindvriendelijk maken.
6;12-10-2015;Hoe maak je van een garage een unieke woon-en werkruimte? Sharon maakt een budgetmaaltijd: courgetti met lamsgehakt. En vogelaar Arjan Dwarshuis neemt ons mee naar de Biesbosch. Op zoek naar de ijsvogel!
7;13-10-2015;Interieurstylist Eva lost een woonprobleem op. Alain leert alles over Edik. Dat zijn zachte azijnen zónder de zuurgraad van azijn. En hoe herstel je een oud boerenerf?
8;14-10-2015;Boswachter Marieke is vandaag in de duinen met schapen en... slakken! Culinair expert Alain gaat paté maken met een van de beste worstmakers van Nederland. En we kijken binnen bij het privé-huis twee kunstenaars. Zij maakten het foto-ontwerp van de Rotterdamse markthal.
9;15-10-2015;Chefkok Ramon kookt mosselen in een oosters sausje. We kijken binnen bij een uniek huis in de duinen, met uitzicht op zee! En we gaan langs bij een moestuin die alleen per boot bereikbaar is.
10;16-10-2015;Interieurontwerper Piet Boon laat zijn eigen huis zien. Bierexpert Fiona is bij de graanoogst op Texel. En tuinspecialist Martin knapt een klein en saai balkon op!
